frame_num	bboxes	people_num	time	frame
1   	[319, 105, 354, 151]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  87 121 121] 
1   	[245, 111, 271, 144]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  87 121 121] 
1   	[464, 111, 492, 147]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  87 121 121] 
1   	[157, 82, 191, 125]    	4   	2022-11-25 09:24:26 	[233 227 230 ...  87 121 121] 
2   	[157, 82, 191, 125]    	4   	2022-11-25 09:24:26 	[233 227 230 ...  88 120 120] 
2   	[245, 111, 271, 144]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  88 120 120] 
2   	[319, 104, 354, 149]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  88 120 120] 
2   	[465, 111, 493, 148]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  88 120 120] 
4   	[158, 83, 192, 129]    	4   	2022-11-25 09:24:26 	[233 227 230 ...  86 120 115] 
4   	[465, 112, 495, 149]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  86 120 115] 
4   	[319, 101, 354, 147]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  86 120 115] 
4   	[245, 111, 271, 145]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  86 120 115] 
8   	[466, 115, 497, 152]   	4   	2022-11-25 09:24:26 	[235 225 232 ...  83 115 115] 
8   	[319, 98, 355, 144]    	4   	2022-11-25 09:24:26 	[235 225 232 ...  83 115 115] 
8   	[161, 88, 195, 133]    	4   	2022-11-25 09:24:26 	[235 225 232 ...  83 115 115] 
8   	[244, 110, 270, 143]   	4   	2022-11-25 09:24:26 	[235 225 232 ...  83 115 115] 
12  	[164, 93, 198, 138]    	4   	2022-11-25 09:24:26 	[233 227 230 ...  83 119 114] 
12  	[319, 98, 355, 144]    	4   	2022-11-25 09:24:26 	[233 227 230 ...  83 119 114] 
12  	[466, 119, 497, 155]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  83 119 114] 
12  	[242, 107, 269, 142]   	4   	2022-11-25 09:24:26 	[233 227 230 ...  83 119 114] 
16  	[165, 98, 200, 144]    	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 117 112] 
16  	[468, 120, 497, 156]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 117 112] 
16  	[319, 101, 355, 146]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 117 112] 
16  	[240, 106, 267, 140]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 117 112] 
20  	[166, 104, 202, 149]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  90 125 122] 
20  	[320, 107, 355, 153]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  90 125 122] 
20  	[469, 117, 498, 155]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  90 125 122] 
20  	[238, 106, 265, 140]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  90 125 122] 
24  	[167, 106, 202, 152]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 110 112] 
24  	[321, 113, 357, 159]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 110 112] 
24  	[471, 113, 500, 149]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 110 112] 
24  	[237, 109, 264, 144]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  81 110 112] 
28  	[168, 104, 202, 148]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  91 118 125] 
28  	[322, 115, 360, 162]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  91 118 125] 
28  	[474, 104, 504, 140]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  91 118 125] 
28  	[236, 111, 263, 146]   	4   	2022-11-25 09:24:27 	[233 227 230 ...  91 118 125] 
32  	[166, 97, 202, 142]    	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 125 134] 
32  	[476, 98, 506, 135]    	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 125 134] 
32  	[235, 113, 263, 147]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 125 134] 
32  	[324, 112, 361, 159]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 125 134] 
36  	[165, 92, 201, 137]    	5   	2022-11-25 09:24:28 	[233 227 230 ...  92 120 125] 
36  	[327, 107, 364, 155]   	5   	2022-11-25 09:24:28 	[233 227 230 ...  92 120 125] 
36  	[234, 114, 262, 148]   	5   	2022-11-25 09:24:28 	[233 227 230 ...  92 120 125] 
36  	[478, 95, 506, 132]    	5   	2022-11-25 09:24:28 	[233 227 230 ...  92 120 125] 
36  	[576, 64, 596, 113]    	5   	2022-11-25 09:24:28 	[233 227 230 ...  92 120 125] 
40  	[165, 90, 201, 134]    	4   	2022-11-25 09:24:28 	[233 227 230 ...  81 116 120] 
40  	[329, 103, 367, 151]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  81 116 120] 
40  	[235, 111, 263, 146]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  81 116 120] 
40  	[479, 96, 508, 133]    	4   	2022-11-25 09:24:28 	[233 227 230 ...  81 116 120] 
44  	[165, 90, 201, 135]    	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 130 135] 
44  	[333, 100, 371, 147]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 130 135] 
44  	[481, 100, 510, 138]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 130 135] 
44  	[237, 106, 265, 142]   	4   	2022-11-25 09:24:28 	[233 227 230 ...  98 130 135] 
48  	[165, 93, 201, 139]    	4   	2022-11-25 09:24:29 	[233 227 230 ... 101 130 139] 
48  	[240, 102, 269, 137]   	4   	2022-11-25 09:24:29 	[233 227 230 ... 101 130 139] 
48  	[482, 107, 514, 146]   	4   	2022-11-25 09:24:29 	[233 227 230 ... 101 130 139] 
48  	[335, 101, 374, 150]   	4   	2022-11-25 09:24:29 	[233 227 230 ... 101 130 139] 
52  	[337, 105, 377, 157]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  94 124 129] 
52  	[166, 100, 202, 146]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  94 124 129] 
52  	[242, 99, 271, 134]    	4   	2022-11-25 09:24:29 	[233 227 230 ...  94 124 129] 
52  	[485, 115, 516, 155]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  94 124 129] 
56  	[165, 110, 202, 156]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  97 121 131] 
56  	[244, 99, 272, 135]    	4   	2022-11-25 09:24:29 	[233 227 230 ...  97 121 131] 
56  	[485, 121, 517, 160]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  97 121 131] 
56  	[339, 109, 379, 161]   	4   	2022-11-25 09:24:29 	[233 227 230 ...  97 121 131] 
60  	[165, 115, 201, 162]   	4   	2022-11-25 09:24:29 	[235 229 232 ... 104 128 138] 
60  	[483, 119, 516, 161]   	4   	2022-11-25 09:24:29 	[235 229 232 ... 104 128 138] 
60  	[244, 101, 273, 137]   	4   	2022-11-25 09:24:29 	[235 229 232 ... 104 128 138] 
60  	[339, 109, 379, 161]   	4   	2022-11-25 09:24:29 	[235 229 232 ... 104 128 138] 
64  	[165, 117, 201, 164]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  95 126 135] 
64  	[338, 104, 379, 158]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  95 126 135] 
64  	[483, 116, 514, 155]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  95 126 135] 
64  	[244, 104, 274, 142]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  95 126 135] 
68  	[167, 112, 203, 159]   	4   	2022-11-25 09:24:30 	[235 229 232 ... 100 132 137] 
68  	[245, 111, 275, 147]   	4   	2022-11-25 09:24:30 	[235 229 232 ... 100 132 137] 
68  	[481, 109, 512, 150]   	4   	2022-11-25 09:24:30 	[235 229 232 ... 100 132 137] 
68  	[336, 96, 377, 150]    	4   	2022-11-25 09:24:30 	[235 229 232 ... 100 132 137] 
72  	[168, 105, 205, 152]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  82 118 119] 
72  	[482, 103, 513, 144]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  82 118 119] 
72  	[247, 115, 276, 151]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  82 118 119] 
72  	[336, 89, 375, 140]    	4   	2022-11-25 09:24:30 	[235 229 232 ...  82 118 119] 
76  	[246, 115, 276, 152]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  98 135 134] 
76  	[482, 100, 513, 140]   	4   	2022-11-25 09:24:30 	[235 229 232 ...  98 135 134] 
76  	[335, 83, 374, 135]    	4   	2022-11-25 09:24:30 	[235 229 232 ...  98 135 134] 
76  	[170, 96, 206, 142]    	4   	2022-11-25 09:24:30 	[235 229 232 ...  98 135 134] 
80  	[171, 92, 208, 139]    	4   	2022-11-25 09:24:31 	[235 229 232 ...  95 126 133] 
80  	[482, 100, 513, 140]   	4   	2022-11-25 09:24:31 	[235 229 232 ...  95 126 133] 
80  	[246, 111, 275, 148]   	4   	2022-11-25 09:24:31 	[235 229 232 ...  95 126 133] 
80  	[334, 83, 374, 133]    	4   	2022-11-25 09:24:31 	[235 229 232 ...  95 126 133] 
84  	[171, 91, 208, 139]    	4   	2022-11-25 09:24:31 	[235 229 232 ... 106 134 139] 
84  	[483, 104, 514, 144]   	4   	2022-11-25 09:24:31 	[235 229 232 ... 106 134 139] 
84  	[332, 86, 374, 141]    	4   	2022-11-25 09:24:31 	[235 229 232 ... 106 134 139] 
84  	[244, 105, 274, 143]   	4   	2022-11-25 09:24:31 	[235 229 232 ... 106 134 139] 
88  	[171, 94, 208, 142]    	4   	2022-11-25 09:24:31 	[235 229 232 ... 104 133 135] 
88  	[483, 109, 514, 150]   	4   	2022-11-25 09:24:31 	[235 229 232 ... 104 133 135] 
88  	[331, 93, 373, 150]    	4   	2022-11-25 09:24:31 	[235 229 232 ... 104 133 135] 
88  	[242, 100, 272, 138]   	4   	2022-11-25 09:24:31 	[235 229 232 ... 104 133 135] 
92  	[171, 99, 209, 148]    	4   	2022-11-25 09:24:31 	[235 229 232 ... 103 133 138] 
92  	[331, 97, 373, 155]    	4   	2022-11-25 09:24:32 	[235 229 232 ... 103 133 138] 
92  	[240, 97, 270, 134]    	4   	2022-11-25 09:24:32 	[235 229 232 ... 103 133 138] 
92  	[482, 114, 515, 154]   	4   	2022-11-25 09:24:32 	[235 229 232 ... 103 133 138] 
96  	[171, 107, 209, 155]   	4   	2022-11-25 09:24:32 	[235 229 232 ...  91 125 131] 
96  	[331, 95, 374, 154]    	4   	2022-11-25 09:24:32 	[235 229 232 ...  91 125 131] 
96  	[237, 96, 268, 134]    	4   	2022-11-25 09:24:32 	[235 229 232 ...  91 125 131] 
96  	[483, 114, 516, 155]   	4   	2022-11-25 09:24:32 	[235 229 232 ...  91 125 131] 
